Comment : 
Probe   : 
FileName: B54CIS01.DAT
Fileform:      7
Date    : 14.05.99  11:57:22
Program : EMP
Version :       3.1
MeasTime:      0.0000
ScanTime:    948.6785
MeasTyp : CFS
Analys. :      1
Scans   :      1
Points  :    801
MonSta  :    270.0000
MonEnd  :    350.0000
AnaSta  :    200.0000
AnaEnd  :    600.0000
AnaRange:   1000.0000
AnaMin  :    100.0000
DACsta  :      0.0000
DACend  :     10.0000
DeltaE  :      0.0248
MonSpeed:    500.0000
ScanCtrl: ENERGY
DelayVal:      0.0000
SecMeas : FALSE
ChanType: MEASURE , MEASURE
Devices :        DMM1 , TIME: 5.00000E-02 , MODE:1 , RANGE:3 , AVERAGE:20 , TRIGGER:1
 2.96500E+02  8.60775E-01  0.00000E+00 
 2.96600E+02  8.60637E-01  0.00000E+00 
 2.96700E+02  8.61900E-01  0.00000E+00 
 2.96799E+02  8.65075E-01  0.00000E+00 
 2.96899E+02  8.65500E-01  0.00000E+00 
 2.97000E+02  8.66262E-01  0.00000E+00 
 2.97100E+02  8.68912E-01  0.00000E+00 
 2.97200E+02  8.69837E-01  0.00000E+00 
 2.97299E+02  8.71375E-01  0.00000E+00 
 2.97399E+02  8.74700E-01  0.00000E+00 
 2.97500E+02  8.75275E-01  0.00000E+00 
 2.97600E+02  8.74662E-01  0.00000E+00 
 2.97700E+02  8.77750E-01  0.00000E+00 
 2.97799E+02  8.79812E-01  0.00000E+00 
 2.97899E+02  8.80212E-01  0.00000E+00 
 2.98000E+02  8.83875E-01  0.00000E+00 
 2.98100E+02  8.85712E-01  0.00000E+00 
 2.98200E+02  8.84787E-01  0.00000E+00 
 2.98299E+02  8.91337E-01  0.00000E+00 
 2.98399E+02  8.91800E-01  0.00000E+00 
 2.98500E+02  8.93075E-01  0.00000E+00 
 2.98600E+02  8.96537E-01  0.00000E+00 
 2.98700E+02  8.99887E-01  0.00000E+00 
 2.98799E+02  9.00587E-01  0.00000E+00 
 2.98899E+02  9.03512E-01  0.00000E+00 
 2.99000E+02  9.06075E-01  0.00000E+00 
 2.99100E+02  9.07300E-01  0.00000E+00 
 2.99200E+02  9.12200E-01  0.00000E+00 
 2.99299E+02  9.14912E-01  0.00000E+00 
 2.99399E+02  9.15650E-01  0.00000E+00 
 2.99500E+02  9.20737E-01  0.00000E+00 
 2.99600E+02  9.33937E-01  0.00000E+00 
 2.99700E+02  9.25550E-01  0.00000E+00 
 2.99799E+02  9.30750E-01  0.00000E+00 
 2.99899E+02  9.31662E-01  0.00000E+00 
 3.00000E+02  9.34325E-01  0.00000E+00 
 3.00100E+02  9.37800E-01  0.00000E+00 
 3.00200E+02  9.39437E-01  0.00000E+00 
 3.00299E+02  9.44775E-01  0.00000E+00 
 3.00399E+02  9.48150E-01  0.00000E+00 
 3.00500E+02  9.50562E-01  0.00000E+00 
 3.00600E+02  9.53437E-01  0.00000E+00 
 3.00700E+02  9.56875E-01  0.00000E+00 
 3.00799E+02  9.62000E-01  0.00000E+00 
 3.00899E+02  9.61725E-01  0.00000E+00 
 3.01000E+02  9.65900E-01  0.00000E+00 
 3.01100E+02  9.71875E-01  0.00000E+00 
 3.01200E+02  9.71187E-01  0.00000E+00 
 3.01299E+02  9.74237E-01  0.00000E+00 
 3.01399E+02  9.78650E-01  0.00000E+00 
 3.01500E+02  9.77062E-01  0.00000E+00 
 3.01600E+02  9.80887E-01  0.00000E+00 
 3.01700E+02  9.89800E-01  0.00000E+00 
 3.01799E+02  9.87562E-01  0.00000E+00 
 3.01899E+02  9.90625E-01  0.00000E+00 
 3.02000E+02  9.94475E-01  0.00000E+00 
 3.02100E+02  9.94787E-01  0.00000E+00 
 3.02200E+02  9.96912E-01  0.00000E+00 
 3.02299E+02  1.00310E+00  0.00000E+00 
 3.02399E+02  1.00281E+00  0.00000E+00 
 3.02500E+02  1.00291E+00  0.00000E+00 
 3.02600E+02  1.00592E+00  0.00000E+00 
 3.02700E+02  1.00792E+00  0.00000E+00 
 3.02799E+02  1.00867E+00  0.00000E+00 
 3.02899E+02  1.01222E+00  0.00000E+00 
 3.03000E+02  1.01368E+00  0.00000E+00 
 3.03100E+02  1.01405E+00  0.00000E+00 
 3.03200E+02  1.01842E+00  0.00000E+00 
 3.03299E+02  1.01962E+00  0.00000E+00 
 3.03399E+02  1.01986E+00  0.00000E+00 
 3.03500E+02  1.02370E+00  0.00000E+00 
 3.03600E+02  1.02618E+00  0.00000E+00 
 3.03700E+02  1.02538E+00  0.00000E+00 
 3.03799E+02  1.02852E+00  0.00000E+00 
 3.03899E+02  1.03008E+00  0.00000E+00 
 3.04000E+02  1.03111E+00  0.00000E+00 
 3.04100E+02  1.03467E+00  0.00000E+00 
 3.04200E+02  1.03943E+00  0.00000E+00 
 3.04299E+02  1.03660E+00  0.00000E+00 
 3.04399E+02  1.03908E+00  0.00000E+00 
 3.04500E+02  1.04323E+00  0.00000E+00 
 3.04600E+02  1.04248E+00  0.00000E+00 
 3.04700E+02  1.04373E+00  0.00000E+00 
 3.04799E+02  1.04823E+00  0.00000E+00 
 3.04899E+02  1.04682E+00  0.00000E+00 
 3.05000E+02  1.04841E+00  0.00000E+00 
 3.05100E+02  1.05200E+00  0.00000E+00 
 3.05200E+02  1.05042E+00  0.00000E+00 
 3.05299E+02  1.05177E+00  0.00000E+00 
 3.05399E+02  1.05253E+00  0.00000E+00 
 3.05500E+02  1.05246E+00  0.00000E+00 
 3.05600E+02  1.05281E+00  0.00000E+00 
 3.05700E+02  1.05566E+00  0.00000E+00 
 3.05799E+02  1.05531E+00  0.00000E+00 
 3.05899E+02  1.05360E+00  0.00000E+00 
 3.06000E+02  1.05717E+00  0.00000E+00 
 3.06100E+02  1.05603E+00  0.00000E+00 
 3.06200E+02  1.05646E+00  0.00000E+00 
 3.06299E+02  1.05726E+00  0.00000E+00 
 3.06399E+02  1.05942E+00  0.00000E+00 
 3.06500E+02  1.05797E+00  0.00000E+00 
 3.06600E+02  1.05741E+00  0.00000E+00 
 3.06700E+02  1.05966E+00  0.00000E+00 
 3.06799E+02  1.05492E+00  0.00000E+00 
 3.06899E+02  1.05736E+00  0.00000E+00 
 3.07000E+02  1.05960E+00  0.00000E+00 
 3.07100E+02  1.05642E+00  0.00000E+00 
 3.07200E+02  1.05532E+00  0.00000E+00 
 3.07299E+02  1.05587E+00  0.00000E+00 
 3.07399E+02  1.05537E+00  0.00000E+00 
 3.07500E+02  1.05203E+00  0.00000E+00 
 3.07600E+02  1.05393E+00  0.00000E+00 
 3.07700E+02  1.05307E+00  0.00000E+00 
 3.07799E+02  1.05167E+00  0.00000E+00 
 3.07899E+02  1.05368E+00  0.00000E+00 
 3.08000E+02  1.05292E+00  0.00000E+00 
 3.08100E+02  1.05230E+00  0.00000E+00 
 3.08200E+02  1.05236E+00  0.00000E+00 
 3.08299E+02  1.05451E+00  0.00000E+00 
 3.08399E+02  1.05268E+00  0.00000E+00 
 3.08500E+02  1.05205E+00  0.00000E+00 
 3.08600E+02  1.05547E+00  0.00000E+00 
 3.08700E+02  1.05185E+00  0.00000E+00 
 3.08799E+02  1.04965E+00  0.00000E+00 
 3.08899E+02  1.05057E+00  0.00000E+00 
 3.09000E+02  1.05000E+00  0.00000E+00 
 3.09100E+02  1.04812E+00  0.00000E+00 
 3.09200E+02  1.05095E+00  0.00000E+00 
 3.09299E+02  1.04877E+00  0.00000E+00 
 3.09399E+02  1.04947E+00  0.00000E+00 
 3.09500E+02  1.05078E+00  0.00000E+00 
 3.09600E+02  1.05343E+00  0.00000E+00 
 3.09700E+02  1.05082E+00  0.00000E+00 
 3.09799E+02  1.05052E+00  0.00000E+00 
 3.09899E+02  1.05331E+00  0.00000E+00 
 3.10000E+02  1.05036E+00  0.00000E+00 
 3.10100E+02  1.05022E+00  0.00000E+00 
 3.10200E+02  1.05043E+00  0.00000E+00 
 3.10299E+02  1.04867E+00  0.00000E+00 
 3.10399E+02  1.04507E+00  0.00000E+00 
 3.10500E+02  1.04886E+00  0.00000E+00 
 3.10600E+02  1.04727E+00  0.00000E+00 
 3.10700E+02  1.04585E+00  0.00000E+00 
 3.10799E+02  1.04728E+00  0.00000E+00 
 3.10899E+02  1.04857E+00  0.00000E+00 
 3.11000E+02  1.04546E+00  0.00000E+00 
 3.11100E+02  1.04436E+00  0.00000E+00 
 3.11200E+02  1.04657E+00  0.00000E+00 
 3.11299E+02  1.04230E+00  0.00000E+00 
 3.11399E+02  1.04052E+00  0.00000E+00 
 3.11500E+02  1.04028E+00  0.00000E+00 
 3.11600E+02  1.03847E+00  0.00000E+00 
 3.11700E+02  1.03548E+00  0.00000E+00 
 3.11799E+02  1.03806E+00  0.00000E+00 
 3.11899E+02  1.03548E+00  0.00000E+00 
 3.12000E+02  1.03421E+00  0.00000E+00 
 3.12100E+02  1.03341E+00  0.00000E+00 
 3.12200E+02  1.03325E+00  0.00000E+00 
 3.12299E+02  1.02855E+00  0.00000E+00 
 3.12399E+02  1.02761E+00  0.00000E+00 
 3.12500E+02  1.02758E+00  0.00000E+00 
 3.12600E+02  1.02443E+00  0.00000E+00 
 3.12700E+02  1.02031E+00  0.00000E+00 
 3.12799E+02  1.02100E+00  0.00000E+00 
 3.12899E+02  1.01762E+00  0.00000E+00 
 3.13000E+02  1.01392E+00  0.00000E+00 
 3.13100E+02  1.01236E+00  0.00000E+00 
 3.13200E+02  1.01372E+00  0.00000E+00 
 3.13299E+02  1.00903E+00  0.00000E+00 
 3.13399E+02  1.00620E+00  0.00000E+00 
 3.13500E+02  1.00502E+00  0.00000E+00 
 3.13600E+02  1.00110E+00  0.00000E+00 
 3.13700E+02  9.97487E-01  0.00000E+00 
 3.13799E+02  9.95225E-01  0.00000E+00 
 3.13899E+02  9.90825E-01  0.00000E+00 
 3.14000E+02  9.87912E-01  0.00000E+00 
 3.14100E+02  9.86500E-01  0.00000E+00 
 3.14200E+02  9.86137E-01  0.00000E+00 
 3.14299E+02  9.81025E-01  0.00000E+00 
 3.14399E+02  9.77950E-01  0.00000E+00 
 3.14500E+02  9.77350E-01  0.00000E+00 
 3.14600E+02  9.71750E-01  0.00000E+00 
 3.14700E+02  9.68112E-01  0.00000E+00 
 3.14799E+02  9.65687E-01  0.00000E+00 
 3.14899E+02  9.61725E-01  0.00000E+00 
 3.15000E+02  9.58612E-01  0.00000E+00 
 3.15100E+02  9.56512E-01  0.00000E+00 
 3.15200E+02  9.57187E-01  0.00000E+00 
 3.15299E+02  9.50825E-01  0.00000E+00 
 3.15399E+02  9.48275E-01  0.00000E+00 
